dag_id,task_id,state,duration,try_number,day_of_week
my_decorated_dag,load_data,success,0.368885,1,3
dynamic_task_mapping_3,get_files,success,0.752089,1,3
dynamic_task_mapping_3,download_file,success,3.4499,1,3
dynamic_task_mapping_3,download_file,success,3.177429,1,3
dynamic_task_mapping_3,ls_file,success,2.936727,1,3
my_decorated_dag,load_data,success,0.242897,1,3
my_decorated_dag,extract_data,success,0.827283,1,3
my_decorated_dag,transform_data,success,0.438172,1,3
dynamic_task_mapping_3,download_file,success,1.704088,1,3
dynamic_task_mapping_3,download_file,success,0.666269,1,3
my_decorated_dag,transform_data,success,0.666703,1,5
my_decorated_dag,load_data,success,0.209178,1,3
my_decorated_dag,load_data,success,0.235382,1,3
dynamic_task_mapping_3,ls_file,success,1.497055,1,3
dynamic_task_mapping_3,ls_file,success,1.602107,1,3
dynamic_task_mapping_3,ls_file,success,1.543183,1,3
my_decorated_dag,extract_data,success,6.210173,1,3
my_decorated_dag,extract_data,success,6.663644,1,3
dynamic_task_mapping_3,ls_file,success,1.563521,1,3
dynamic_task_mapping_3,download_file,success,2.722932,1,3
dynamic_task_mapping_3,ls_file,success,1.333899,1,3
dynamic_task_mapping_3,ls_file,success,2.92045,1,3
dynamic_task_mapping_3,ls_file,success,3.136946,1,3
dynamic_task_mapping_3,ls_file,success,1.64864,1,3
dynamic_task_mapping_3,ls_file,success,1.117887,1,3
dynamic_task_mapping_3,ls_file,success,4.869239,1,3
dynamic_task_mapping_3,download_file,success,3.238777,1,3
dynamic_task_mapping_3,download_file,success,3.193441,1,3
my_decorated_dag,extract_data,success,0.478599,1,5
my_decorated_dag,extract_data,success,0.196445,1,3
my_decorated_dag,extract_data,success,2.771718,1,3
my_decorated_dag,transform_data,success,0.16641,1,3
my_decorated_dag,load_data,success,0.15313,1,3
my_decorated_dag,transform_data,success,0.580032,1,3
my_decorated_dag,load_data,success,1.87901,1,3
my_decorated_dag,extract_data,success,0.19155,1,3
my_decorated_dag,transform_data,success,0.182077,1,3
my_decorated_dag,load_data,success,0.20242,1,3
my_decorated_dag,extract_data,success,0.324285,1,3
my_decorated_dag,transform_data,success,0.21112,1,3
my_decorated_dag,load_data,success,0.194924,1,3
my_decorated_dag,extract_data,success,0.178817,1,3
my_decorated_dag,transform_data,success,0.235649,1,3
my_decorated_dag,load_data,success,0.256012,1,3
my_decorated_dag,extract_data,success,0.425646,1,3
my_decorated_dag,transform_data,success,0.291524,1,3
my_decorated_dag,load_data,success,0.25221,1,3
my_decorated_dag,load_data,success,0.323721,1,5
my_decorated_dag,transform_data,success,0.194991,1,5
my_decorated_dag,extract_data,success,0.545926,1,5
my_decorated_dag,transform_data,success,51.472384,2,5
my_decorated_dag,transform_data,success,0.340548,1,5
my_decorated_dag,load_data,success,0.322428,1,5
my_decorated_dag,transform_data,success,53.86764,2,5
my_decorated_dag,extract_data,success,0.318557,1,5
my_decorated_dag,transform_data,success,0.30993,1,5
my_decorated_dag,load_data,success,0.263386,1,5
my_decorated_dag,load_data,success,1.62513,1,5
dynamic_task_mapping_1,download_file,success,1.675299,1,5
my_decorated_dag,transform_data,success,2.834108,1,5
dynamic_task_mapping_3,download_file,success,2.585041,1,5
dynamic_task_mapping_2,download_file,success,1.573522,1,5
dynamic_task_mapping_3,download_file,success,2.158371,1,5
dynamic_task_mapping_2,download_file,success,3.115906,1,5
dynamic_task_mapping_3,download_file,success,11.995819,1,5
dynamic_task_mapping_1,download_file,success,2.303949,1,5
dynamic_task_mapping_1,download_file,success,5.631494,1,5
dynamic_task_mapping_2,download_file,success,2.633555,1,5
my_decorated_dag,transform_data,success,0.18042,1,6
dbt_airflow_example,dbt_run,success,14.514782,1,5
my_decorated_dag,load_data,success,0.208054,1,5
my_decorated_dag,transform_data,success,0.54085,1,6
dbt_airflow_example,dbt_run,success,15.504373,1,5
dynamic_task_mapping_1,get_files,success,49.691072,1,5
dynamic_task_mapping_2,get_files,success,48.519637,1,5
dynamic_task_mapping_3,get_files,success,45.394871,1,5
dynamic_task_mapping_1,get_files,success,32.431594,1,5
dynamic_task_mapping_3,download_file,success,2.303241,1,5
dynamic_task_mapping_2,download_file,success,2.391223,1,5
dbt_airflow_example,dbt_test,success,19.381264,1,5
dbt_airflow_example,dbt_test,success,19.031835,1,5
ai_failure_prediction_real_metadata,fetch,success,4.265681,1,6
